i,Title,Author,Publisher,Subjects,ISBN Valid,isbn_clean,cover_url
0,Classification décimale universelle : édition abrégée /,,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle--[tables]; Book Classification; Reference Books; Outline,9782871303336; 2871303339,9782871303336,
1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",Didier,didactique--langue étrangère - enseignement; didactique--langue - enseignement,9782278058327; 2278058320,9782278058327,https://covers.openlibrary.org/b/id/13925145-M.jpg?default=false
2,Histoire de vie et recherche biographique : perspectives sociohistoriques /,,L'Harmattan,Histoires de vie en sociologie; Sciences sociales--Méthodologie; Actes de congrès,2343190194; 9782343190198,2343190194,https://covers.openlibrary.org/b/id/13575660-M.jpg?default=false
3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,9782365350020; 236535002X; 9782365350488; 2365350488,9782365350020,
4,Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",Calmann-Lévy,France--1945-1975; Roman historique; Roman français; Littérature française,9782702180815; 2702180817; 9782702183618; 2702183611,9782702180815,https://covers.openlibrary.org/b/isbn/2702180817-M.jpg?default=false
5,100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,9782353450428; 2353450423,9782353450428,
6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",Dunod,Formateurs (éducation des adultes)--Formation.; Personnel--Formation.; Animateurs de formation.; Guides pratiques.,9782100806614; 2100806610; 9782100846023; 2100846027,9782100806614,https://covers.openlibrary.org/b/id/10531805-M.jpg?default=false
7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",ESF éd,autorité--relation maître-élève; autorité--enseignement primaire,9782710121152; 2710121158,9782710121152,https://covers.openlibrary.org/b/id/10468769-M.jpg?default=false
8,Un autre regard sur le climat /,Emma dessinatrice 1981-....,Massot,Climat--Détérioration; Bandes dessinées,9791097160821,9791097160821,https://covers.openlibrary.org/b/id/14844712-M.jpg?default=false
9,Le mirage de la croissance verte /,"Auffret, Anthony",Delcourt,Développement économique--Aspect environnemental; Développement durable--Aspect environnemental; Bandes dessinées,9782413043591; 2413043594,9782413043591,
